Room,🏢,Overall,🌄,🔌,🪑,#,,📽,Notes,apiNamen
KG33,Kemi,2,1,5,4,7 av 8,1,FALSE,"Stark etta i environment, helt klart bäst i Kemi (förutom den stora), ingår papper och ytdesinfektion, nice bord, många nice stolar, gigantisk whiteboard (that's remarkable!), som vanligt högljud ventilation"
Jupiter123,Jupiter,"1,8",4,1,2,14,1,FALSE,-1°K
KG52,Kemi,"1,7",0,4,3,8,1,FALSE,"Lortigt mentalsjukhus, stol som det står ""sitt ej här"" på (sitt inte på den stolen), Ingår handfat och pappershanddukar, fönster i dörren iaf. Electrocutionvarning på laddare, finns spegel (!), overall jävligt lortigt. Tystaste kemigrupprummet?"
KG54,Kemi,"1,6",1,5,4,9 av 10,1,FALSE,"Hängde nån sorts skiva på väggen, men inte längre (bra jobbat Joel), ljud ur ventilationen men svagt"
KG53,Kemi,"1,5",1,5,3,9 av 8,1,FALSE,"Två dörrar med fönster vilket är ett plus, stolarna håller på att falla isär, ventilationen mullrar lite konstant, lite kallt faktiskt"
KG51,Kemi,"1,3",0,5,4,9 av 8,1,FALSE,"Dåligt ljudisolerat till korridor, fortfarande mentalsjukhus, svagt konstant ljud från ventilationen"
KG34,Kemi,"1,1",0,5,3,8,1,FALSE,"Smutsigaste whiteboarden trots att det finns ""whiteboard cleaning spray"" på bordet, godis på golvet mums enligt Grums, ventilation högljudd, dörren är otroligt dålig på att ljudisolera, även lyhört på grund av ventilationen"
KG31,Kemi,"0,9",0,5,3,7 av 8,1,FALSE,"Finns lika många bord som stolar av nån anledning? (förråd?) Konstant ljud från ventilationen, utanför dörren är en underjordisk tunnel. Finns i alla fall ett fönster ut till korridoren"
KG35,Kemi,"0,5",0,1,2,8,1,FALSE,"4 eluttag i hela rummet i motsatta hörn. Borden för höga för stolarna så man sitter som ett barn vid vuxenbordet, inget förråd, fönster i dörren mot korridoren, den gröna färgen på dörren skapar en fantastisk juxtaposition mot resten av rummet"
KG32,Kemi,"0,1",−1,3,3,11 av 8,1,FALSE,"Grupprummet Gud och vaktmästarna glömde. En bunker, konstant ljud från ventilationen, inga fönster överhuvudtaget, riktigt skitiga väggar. Absolut sämsta grupprummet på Chalmers. Släck lamporna för mörkerterapi"
Average,Maskin,"3,38","3,53","4,25","3,55","6,1","1,19",FALSE,Precis som de andra i SB utan fönster ut (ventilationen var tyst)
,,,,,,,,FALSE,
Unbookable :(,,,,,,,,FALSE,
Jupiter424,Jupiter,5,5,5,4,12,1,TRUE,"Possibly the best view in Lindholmen, big monitor, plants, big ass balcony aswell ffs, standing desk"
Jupiter473,Jupiter,"4,1",4,3,5,29,2,TRUE,"3 monitors, 29 chairs"
